CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,5323.1488826353125,0.25069270745576405,26344.072201060357,38237.44252485699,3727.1131620165793,15708.239684282344,0.4965358549813767,0.46444215820941376,0.8216109172715006,0.19450164400155756,100,77,16819.480036927864,21337.02745807972,39452.95812072942,0.817906647357249,7
C10002,12726.638115000294,0.7913068454293041,37958.51901913978,5690.742439559042,18733.81096395327,38284.35443332742,0.6994568681456352,0.2503268886924975,0.6548630354562667,1.0839018485328666,78,156,15617.570575307036,8000.183623662895,63013.748477282126,0.34311905212994803,9
C10003,4305.572067915899,0.17653115681752052,28392.953338242034,36009.47008753167,2873.3832320643073,14294.185034977907,0.4197635280232288,0.5236616919142388,0.8999123501545754,0.20704865086759838,72,81,15515.586212532831,27111.360492831976,,0.8290742967065882,6
C10004,4740.988511368493,0.178076264128124,27399.003841993923,38246.86349101042,3402.8533751151194,6936.812517791386,0.4396664479238716,0.6065974545311121,0.7831287760310226,0.22829883556420713,78,83,12926.587973845404,23919.11340438665,38444.21997859525,0.8839840438923162,7
C10005,13820.920639545775,0.8269139931008558,42214.02163327763,7341.007821062898,19273.070991207333,40091.34784941715,0.8214123901426935,0.2835790106551427,0.5013610159587263,1.1063500632046674,88,182,14404.705067247518,6994.688473821745,62041.617340264966,0.3831861253906385,10
C10006,12439.064886639253,0.7066728246338734,40674.226115919286,6156.208830671685,19401.475614810126,32438.912697596134,0.8367644384891009,0.3439363587129161,0.5278127001386709,0.9706928879948299,103,216,14554.911546163956,8814.239864688725,58227.56469006162,0.39837724649964945,10
C10007,5751.875115793815,0.20263534793519017,32509.1591637705,34929.99211428169,2951.501163075657,15831.777602661532,0.43373486904303366,0.5721191196020842,0.8487475315231893,0.25798203179841983,80,99,16427.997207173925,26477.357793767933,19768.61316923771,0.9192819078781048,6
C10008,11958.85043316046,0.7312742160909071,40494.41580893687,9571.367143031637,18972.549001194846,34492.971027740954,0.8712112558620108,0.06843725292004808,0.5091608560754585,0.9689659006668268,72,197,14040.66521462955,5679.381668713499,52698.25157817268,0.3726487705979185,10
C10009,12887.08098690232,0.8717324079864474,37655.94849523372,7249.847190264262,20221.26317079907,38881.678337155274,0.8849318138841018,0.32639359667645623,0.5622109003779384,1.0114737408197643,88,217,14514.689784477569,8457.493288144762,57985.42120314431,0.30766471745447566,10
C10010,4175.2392504709915,0.23452365137676115,27697.46442486588,34065.74205266508,4428.638371176189,14519.21913309321,0.4455815023069859,0.6246154702470142,0.9208258698060138,0.268456434816445,78,88,14888.131537643845,27044.161561949404,30451.40381885405,0.8813081726478871,6
